items_package,cost,category
item_proj1_1,1257,Food/snacks
item_proj1_2,1444,Communications
item_proj1_3,1997,Tools
item_proj1_4,1363,Tools
item_proj1_5,1368,Drones
item_proj1_6,1793,Communications
item_proj1_7,1141,Food/snacks
item_proj1_8,2003,Tools
item_proj1_9,1476,Food/snacks
item_proj1_10,810,Food/snacks
item_proj1_11,1768,Tools
item_proj1_12,1001,Food/snacks
item_proj1_13,1518,Tools
item_proj1_14,1918,Food/snacks
item_proj1_15,1206,Tools
item_proj1_16,621,Communications
item_proj1_17,1738,Drones
item_proj1_18,577,Tools
