tx_Id,donation_in_USD
tx_501,51
tx_502,74
tx_503,116
tx_504,12
tx_505,1
tx_506,134
tx_507,102
tx_508,19
tx_509,139
tx_510,96
tx_511,80
tx_512,149
tx_513,91
tx_514,70
tx_515,31
tx_516,134
tx_517,113
tx_518,62
tx_519,5
tx_520,69
tx_521,28
tx_522,48
tx_523,102
tx_524,52
tx_525,65
tx_526,19
tx_527,132
tx_528,124
tx_529,114
tx_530,36
tx_531,84
tx_532,18
tx_533,23
tx_534,88
tx_535,1
tx_536,15
tx_537,103
tx_538,51
tx_539,87
tx_540,127
tx_541,141
tx_542,22
tx_543,81
tx_544,137
tx_545,133
tx_546,41
tx_547,106
tx_548,142
tx_549,109
tx_550,2
tx_551,42
tx_552,145
tx_553,103
tx_554,28
tx_555,142
tx_556,3
tx_557,27
tx_558,101
tx_559,94
tx_560,51
tx_561,51
tx_562,97
tx_563,52
tx_564,124
tx_565,123
tx_566,153
tx_567,144
tx_568,145
tx_569,87
tx_570,66
tx_571,96
tx_572,16
tx_573,129
tx_574,92
tx_575,51
tx_576,151
tx_577,38
tx_578,149
tx_579,53
tx_580,140
tx_581,60
tx_582,73
tx_583,22
tx_584,147
tx_585,93
tx_586,157
tx_587,87
tx_588,81
tx_589,47
tx_590,51
tx_591,145
tx_592,90
tx_593,131
tx_594,55
tx_595,133
tx_596,123
tx_597,138
tx_598,37
tx_599,43
tx_600,131
tx_601,126
tx_602,46
tx_603,114
tx_604,27
tx_605,1
tx_606,134
tx_607,60
tx_608,13
tx_609,65
tx_610,91
tx_611,21
tx_612,95
tx_613,118
tx_614,7
tx_615,15
tx_616,64
tx_617,47
tx_618,133
tx_619,47
tx_620,97
tx_621,83
tx_622,126
tx_623,109
tx_624,101
tx_625,67
tx_626,136
tx_627,4
tx_628,91
tx_629,23
tx_630,157
tx_631,105
tx_632,23
tx_633,36
tx_634,80
tx_635,152
tx_636,154
tx_637,130
tx_638,97
tx_639,17
tx_640,149
tx_641,7
tx_642,149
tx_643,32
tx_644,102
tx_645,92
tx_646,62
tx_647,29
tx_648,153
tx_649,88
tx_650,71
tx_651,79
tx_652,3
tx_653,98
tx_654,106
tx_655,46
tx_656,76
tx_657,37
tx_658,146
tx_659,67
tx_660,25
tx_661,87
tx_662,70
tx_663,16
tx_664,65
tx_665,150
tx_666,46
tx_667,41
tx_668,31
tx_669,95
tx_670,132
tx_671,83
tx_672,82
tx_673,100
tx_674,133
tx_675,136
tx_676,19
tx_677,127
tx_678,143
tx_679,26
tx_680,129
tx_681,36
tx_682,138
tx_683,35
tx_684,149
tx_685,110
tx_686,3
tx_687,25
tx_688,102
tx_689,42
tx_690,25
tx_691,8
tx_692,51
tx_693,133
tx_694,108
tx_695,21
tx_696,65
tx_697,16
tx_698,99
tx_699,119
tx_700,147
tx_701,46
tx_702,125
tx_703,128
tx_704,45
tx_705,11
tx_706,104
tx_707,2
tx_708,41
tx_709,133
tx_710,138
tx_711,87
tx_712,22
tx_713,112
tx_714,4
tx_715,129
tx_716,55
tx_717,48
tx_718,58
tx_719,63
tx_720,35
tx_721,23
tx_722,97
tx_723,151
tx_724,34
tx_725,155
tx_726,157
tx_727,98
tx_728,97
tx_729,131
tx_730,108
tx_731,73
tx_732,57
tx_733,51
tx_734,22
tx_735,140
tx_736,127
tx_737,133
tx_738,21
tx_739,17
tx_740,95
tx_741,126
tx_742,60
tx_743,143
tx_744,9
tx_745,5
tx_746,73
tx_747,47
tx_748,47
tx_749,115
tx_750,123
