tx_Id,donation_in_USD
tx_1,155
tx_2,66
tx_3,37
tx_4,105
tx_5,23
tx_6,28
tx_7,36
tx_8,122
tx_9,39
tx_10,140
tx_11,109
tx_12,124
tx_13,98
tx_14,2
tx_15,13
tx_16,158
tx_17,82
tx_18,151
tx_19,42
tx_20,39
tx_21,86
tx_22,29
tx_23,108
tx_24,28
tx_25,29
tx_26,65
tx_27,157
tx_28,132
tx_29,105
tx_30,33
tx_31,86
tx_32,5
tx_33,28
tx_34,70
tx_35,57
tx_36,108
tx_37,82
tx_38,61
tx_39,138
tx_40,57
tx_41,83
tx_42,109
tx_43,85
tx_44,55
tx_45,36
tx_46,50
tx_47,22
tx_48,133
tx_49,12
tx_50,42
tx_51,69
tx_52,130
tx_53,74
tx_54,145
tx_55,31
tx_56,28
tx_57,16
tx_58,118
tx_59,142
tx_60,88
tx_61,7
tx_62,21
tx_63,75
tx_64,29
tx_65,108
tx_66,125
tx_67,37
tx_68,106
tx_69,10
tx_70,109
tx_71,79
tx_72,76
tx_73,137
tx_74,148
tx_75,60
tx_76,155
tx_77,1
tx_78,64
tx_79,161
tx_80,58
tx_81,32
tx_82,84
tx_83,32
tx_84,84
tx_85,62
tx_86,68
tx_87,137
tx_88,154
tx_89,155
tx_90,20
tx_91,23
tx_92,10
tx_93,92
tx_94,114
tx_95,111
tx_96,29
tx_97,137
tx_98,135
tx_99,25
tx_100,14
tx_101,147
tx_102,36
tx_103,34
tx_104,127
tx_105,38
tx_106,112
tx_107,38
tx_108,109
tx_109,88
tx_110,73
tx_111,67
tx_112,8
tx_113,39
tx_114,51
tx_115,87
tx_116,24
tx_117,69
tx_118,85
tx_119,62
tx_120,94
tx_121,147
tx_122,43
tx_123,109
tx_124,78
tx_125,158
tx_126,161
tx_127,3
tx_128,55
tx_129,122
tx_130,130
tx_131,160
tx_132,60
tx_133,161
tx_134,68
tx_135,111
tx_136,62
tx_137,2
tx_138,21
tx_139,58
tx_140,112
tx_141,15
tx_142,108
tx_143,116
tx_144,53
tx_145,30
tx_146,90
tx_147,121
tx_148,144
tx_149,7
tx_150,123
tx_151,117
tx_152,153
tx_153,83
tx_154,159
tx_155,25
tx_156,34
tx_157,154
tx_158,120
tx_159,77
tx_160,121
tx_161,125
tx_162,153
tx_163,151
tx_164,93
tx_165,91
tx_166,42
tx_167,65
tx_168,99
tx_169,146
tx_170,43
tx_171,118
tx_172,135
tx_173,153
tx_174,75
tx_175,2
tx_176,137
tx_177,132
tx_178,41
tx_179,42
tx_180,145
tx_181,1
tx_182,20
tx_183,133
tx_184,62
tx_185,11
tx_186,25
tx_187,38
tx_188,40
tx_189,30
tx_190,129
tx_191,141
tx_192,47
tx_193,11
tx_194,36
tx_195,141
tx_196,137
tx_197,132
tx_198,114
tx_199,77
tx_200,154
tx_201,101
tx_202,18
tx_203,17
tx_204,85
tx_205,64
tx_206,67
tx_207,136
tx_208,86
tx_209,79
tx_210,162
tx_211,118
tx_212,143
tx_213,107
tx_214,144
tx_215,128
tx_216,73
tx_217,4
tx_218,94
tx_219,112
tx_220,118
tx_221,76
tx_222,14
tx_223,25
tx_224,15
tx_225,14
tx_226,76
tx_227,145
tx_228,1
tx_229,9
tx_230,114
tx_231,119
tx_232,128
tx_233,74
tx_234,75
tx_235,146
tx_236,81
tx_237,133
tx_238,6
tx_239,58
tx_240,16
tx_241,13
tx_242,92
tx_243,26
tx_244,42
tx_245,112
tx_246,73
tx_247,20
tx_248,128
tx_249,148
tx_250,51
